"name","team","position","height_inches","wingspan_inches","wingspan_advantage","g","mp","pts","orb","drb","trb","ast","stl","blk","o_rtg","d_rtg","e_fg_percent","ft_percent","fg_percent","avg_dist_of_fg","X2pt_rate","X3pt_rate","X2pt_percent","X3pt_percent","dunk_rate","residuals","fitted"
"Ty Jerome","CLE","PG",76.25,76,-0.25,70,1392,30.3,1.7,4.3,6,8.2,2.7,0.1,128,113,0.606,0.872,0.516,15.6,0.591,0.409,0.57,0.439,0,1.60792664175002,4.39207335824998
"TyTy Washington Jr.","PHX","PG",74.25,80,5.75,16,118,14.7,1.7,3.8,5.4,6.7,1.3,0,92,123,0.356,0.5,0.311,17.4,0.533,0.467,0.417,0.19,0,-1.78704518651002,7.18704518651002
"Tyler Herro","MIA","SG",76.5,75.25,-1.25,77,2725,33.7,0.6,6.7,7.3,7.8,1.3,0.3,117,115,0.563,0.878,0.472,16.7,0.514,0.486,0.565,0.375,0.008,3.43198385954877,3.86801614045123
"Tyler Kolek","NYK","PG",73.25,74.75,1.5,41,296,13.6,1.3,3.2,4.5,11.7,2,0.7,109,116,0.415,0.765,0.329,17.2,0.427,0.573,0.371,0.298,0,0.981355338081276,3.51864466191872
"Tyler Smith","MIL","PF",81,85,4,23,122,26.6,2.4,7.5,9.9,1.6,1.2,1.6,110,113,0.61,0.75,0.48,17.2,0.4,0.6,0.55,0.433,0.08,-0.78075997183506,10.6807599718351
"Tyrese Haliburton","IND","PG",76.75,79.75,3,73,2451,26.6,0.8,4.2,5.1,13.2,2.1,1,131,115,0.582,0.851,0.473,19.3,0.441,0.559,0.581,0.388,0.024,-1.91235944724377,7.01235944724377
"Tyrese Maxey","PHI","PG",74,79,5,52,1960,34.4,0.4,4,4.4,8,2.3,0.5,114,119,0.511,0.879,0.437,15.1,0.562,0.438,0.515,0.337,0.014,-2.08830222944501,6.48830222944501
"Tyus Jones","PHX","PG",72.5,77,4.5,81,2174,18.9,0.9,3.5,4.5,9.8,1.6,0.2,124,122,0.57,0.895,0.448,18.3,0.413,0.587,0.496,0.414,0,-0.590816315314993,5.09081631531499
"Vasilije MiciÄ‡","PHX","PG",76,79,3,41,785,16.9,1.3,4.3,5.6,8,0.9,0,92,121,0.43,0.829,0.348,17,0.542,0.458,0.338,0.36,0,-0.88830222944501,6.48830222944501
"Victor Wembanyama","SAS","C",88,96,8,46,1527,35.3,2.6,13.4,16,5.3,1.6,5.6,109,108,0.559,0.836,0.476,17,0.53,0.47,0.586,0.352,0.114,-2.36693249955015,18.3669324995502
"Vince Williams Jr.","MEM","SG",76,83,7,27,499,16.7,2,7.1,9.1,5.1,1.1,0.7,104,115,0.479,0.792,0.401,16.9,0.431,0.569,0.569,0.274,0.012,-0.183274057705044,9.28327405770504
"Walker Kessler","UTA","C",84.25,88.25,4,58,1740,17.7,7.3,12.2,19.5,2.7,1,3.8,130,115,0.671,0.52,0.663,4.3,0.919,0.081,0.706,0.176,0.329,6.54832541770366,12.9516745822963
"Wendell Carter Jr.","ORL","C",80.75,88.5,7.75,68,1758,17.6,4.3,9.7,14,3.8,1.5,1.2,115,109,0.498,0.737,0.46,12.1,0.678,0.322,0.568,0.234,0.179,0.873639678437409,13.1263603215626
"Wendell Moore Jr.","CHA","SG",76.25,84.75,8.5,36,499,14.6,2.9,6.3,9.3,4.1,2,0.5,110,115,0.524,0.818,0.468,11.1,0.675,0.325,0.529,0.341,0.04,-1.20607423256881,10.5060742325688
"Xavier Tillman Sr.","BOS","PF",79.5,86,6.5,33,231,7.4,2.2,7.2,9.3,1.5,2.4,1.1,67,109,0.292,0.75,0.245,17.2,0.396,0.604,0.381,0.156,0,-2.07950292890007,11.3795029289001
"Yves Missi","NOP","C",82.75,86,3.25,73,1956,16.5,6.3,8.6,14.9,2.5,0.9,2.4,120,119,0.547,0.623,0.547,2.8,0.998,0.002,0.548,0,0.297,3.52049707109993,11.3795029289001
"Zaccharie Risacher","ATL","SF",80.25,82.5,2.25,75,1843,23.9,2.2,4.6,6.8,2.3,1.3,0.9,108,118,0.537,0.711,0.458,13.5,0.558,0.442,0.54,0.355,0.095,-2.13390257917254,8.93390257917254
"Zach Collins","CHI","C",82.25,85,2.75,64,977,19.7,4.9,9,14,5.4,1.4,1.4,122,115,0.56,0.885,0.507,11.6,0.649,0.351,0.617,0.302,0.073,3.31924002816494,10.6807599718351
"Zach Edey","MEM","C",87.75,94.75,7,66,1416,20,7.6,10.4,18,2.1,1.2,2.8,124,110,0.6,0.709,0.58,6.1,0.88,0.12,0.612,0.346,0.236,0.506496196781106,17.4935038032189
"Zach LaVine","SAC","SG",76.5,80.25,3.75,74,2602,31.6,0.4,5.4,5.8,5.7,1.1,0.2,116,119,0.609,0.825,0.511,15.9,0.562,0.438,0.562,0.446,0.06,-1.56173092577627,7.36173092577627
"Zeke Nnaji","DEN","PF",81.25,86,4.75,57,608,14.6,2.6,4.5,7.1,1.8,2,3,120,114,0.557,0.614,0.496,11.4,0.631,0.369,0.596,0.327,0.184,-4.27950292890007,11.3795029289001
"Ziaire Williams","BKN","SF",80.25,82.25,2,63,1541,20.4,2,7.3,9.3,2.7,2,0.9,109,114,0.511,0.821,0.412,16.2,0.419,0.581,0.509,0.341,0.092,0.540783160093713,8.75921683990629
"Zion Williamson","NOP","PF",77.75,82.5,4.75,30,857,41.7,4.3,7.9,12.2,9,2.1,1.5,117,118,0.57,0.656,0.567,4.8,0.974,0.026,0.576,0.231,0.085,3.26609742082746,8.93390257917254
